Issue key,previous_story_point,estimated_test_score,Number of developers,Number of comments
RAINCATCH-880,8.0,2.8916666666666666,1,6
RAINCATCH-814,2.0,2.55,1,0
RAINCATCH-701,3.0,4.468425982333232,1,1
RAINCATCH-657,5.0,4.7,1,4
RAINCATCH-603,5.0,2.775,1,5
RAINCATCH-530,3.0,3.0666666666666664,1,1
RAINCATCH-513,5.0,2.9625,1,2
RAINCATCH-408,8.0,5.222887323943662,1,1
RAINCATCH-12,5.0,3.6234237046421,0,3
RAINCATCH-11,40.0,3.6234237046421,0,2
RAINCATCH-10,5.0,1.997467420780114,0,1
RAINCATCH-9,5.0,3.05,0,2
RAINCATCH-8,3.0,2.1416666666666666,0,1
RAINCATCH-6,5.0,1.85,0,1
RAINCATCH-5,40.0,27.25,0,4
RAINCATCH-4,8.0,7.050786163522012,0,1
RAINCATCH-3,3.0,2.1416666666666666,1,1
PLANNER-2163,13.0,4.429015153005563,1,0
PLANNER-2003,2.0,3.25,1,1
PLANNER-1989,2.0,3.4,1,0
PLANNER-1951,5.0,3.875,1,0
PLANNER-1943,3.0,2.5,1,0
PLANNER-1398,1.0,3.6234237046421,1,0
PLANNER-1384,2.0,2.8892857142857142,1,0
PLANNER-1375,2.0,2.1,1,1
PLANNER-1238,5.0,3.8833333333333337,1,6
PLANNER-1209,3.0,3.55,1,0
PLANNER-1204,3.0,3.45,1,3
PLANNER-1199,3.0,2.85,1,3
PLANNER-1198,5.0,3.2783333333333333,1,5
PLANNER-776,5.0,5.55,1,2
PLANNER-614,1.0,1.425,1,1
ORG-3860,5.0,4.25,1,19
ORG-3756,5.0,2.196428571428572,1,2
ORG-3717,8.0,3.6234237046421,1,1
ORG-3714,3.0,3.6234237046421,1,0
ORG-3707,1.0,3.6234237046421,1,0
ORG-3355,2.0,2.9888528138528137,1,1
NEXUS-342,13.0,3.6234237046421,1,0
NEXUS-341,1.0,3.6234237046421,1,0
NEXUS-336,3.0,3.6234237046421,1,0
NEXUS-332,8.0,5.5,1,0
NEXUS-316,2.0,3.0,1,1
NEXUS-315,1.0,1.7,1,1
NEXUS-314,1.0,3.2,1,1
NEXUS-304,2.0,3.6234237046421,1,0
NEXUS-303,2.0,2.23,1,1
NEXUS-301,7.0,3.5669047619047616,1,1
NEXUS-298,1.0,1.616428571428571,1,2
NEXUS-287,7.0,2.5041666666666664,1,0
NEXUS-279,2.0,2.756944444444444,1,0
NEXUS-278,3.0,3.6234237046421,1,1
NEXUS-277,2.0,2.885416666666667,1,0
NEXUS-275,2.0,7.25,1,2
NEXUS-272,2.0,3.6234237046421,1,0
NEXUS-266,3.0,3.35,1,3
NEXUS-263,7.0,2.2,1,2
NEXUS-260,3.0,2.87,1,4
NEXUS-257,2.0,9.058978873239436,1,1
NEXUS-256,7.0,4.965310324333503,1,3
NEXUS-255,2.0,4.054892884892885,1,2
NEXUS-254,2.0,3.6234237046421,1,0
NEXUS-249,2.0,3.6234237046421,1,0
NEXUS-245,3.0,2.45,1,12
NEXUS-244,3.0,2.5,1,7
NEXUS-239,1.0,6.1,1,5
NEXUS-234,2.0,2.55,1,13
NEXUS-233,2.0,3.6234237046421,1,0
NEXUS-232,5.0,3.9,1,5
NEXUS-230,3.0,7.6,1,0
NEXUS-229,13.0,3.0,1,2
NEXUS-220,3.0,1.55,1,1
NEXUS-219,2.0,2.5,1,4
NEXUS-210,2.0,6.3,1,3
NEXUS-206,2.0,3.6234237046421,1,1
NEXUS-196,3.0,2.55,1,15
NEXUS-194,2.0,2.25,1,1
NEXUS-193,2.0,2.1,1,1
NEXUS-189,3.0,2.598452380952381,1,0
NEXUS-178,5.0,3.5669047619047616,1,0
NEXUS-177,3.0,3.45,1,0
NEXUS-168,2.0,2.275,1,0
NEXUS-166,7.0,4.5,1,1
NEXUS-147,3.0,3.6234237046421,1,0
NEXUS-145,13.0,3.6234237046421,1,3
NEXUS-144,5.0,3.5,1,1
NEXUS-142,2.0,4.0,1,8
NEXUS-139,2.0,1.85,1,2
NEXUS-138,2.0,1.75,1,4
KOGITO-3571,3.0,3.6234237046421,1,0
KOGITO-3479,1.0,3.6234237046421,1,0
KOGITO-3426,3.0,2.75,1,0
KOGITO-3364,5.0,3.5308281864652,1,0
KOGITO-3307,3.0,3.0,1,2
KOGITO-3192,5.0,3.6234237046421,1,0
KOGITO-3126,3.0,2.65,1,1
KOGITO-2618,1.0,3.6234237046421,1,0
KOGITO-2513,2.0,1.1109149247546484,1,0
KOGITO-2277,7.0,3.6234237046421,1,6
KOGITO-2276,5.0,3.6234237046421,1,1
KOGITO-1904,5.0,3.2458333333333327,1,3
KOGITO-1895,3.0,3.121666666666667,1,0
KOGITO-1646,1.0,3.6234237046421,1,1
KOGITO-1645,3.0,3.6234237046421,1,0
KOGITO-1643,1.0,3.6234237046421,1,1
KOGITO-1577,3.0,3.6234237046421,1,0
KOGITO-1523,1.0,1.5,1,0
KOGITO-1441,3.0,3.6833333333333327,1,3
KOGITO-1391,3.0,2.9657142857142857,1,3
KOGITO-1337,3.0,3.6234237046421,1,4
KOGITO-1244,2.0,3.6234237046421,1,5
KOGITO-1014,3.0,3.5308281864652,1,1
KOGITO-936,3.0,17.369999999999997,1,1
KOGITO-935,3.0,2.756,1,2
KOGITO-893,5.0,4.429015153005563,1,0
KOGITO-892,3.0,3.6234237046421,1,0
KOGITO-888,3.0,3.55,1,0
KOGITO-828,5.0,2.9657142857142857,1,0
KOGITO-827,3.0,3.383333333333333,1,0
KOGITO-799,3.0,2.75,1,0
KOGITO-674,13.0,3.6234237046421,1,0
KOGITO-616,3.0,2.2375,1,0
KOGITO-599,1.0,4.215070006312045,1,0
KOGITO-526,3.0,3.6234237046421,1,1
KOGITO-510,5.0,5.35,1,3
KEYCLOAK-15332,5.0,3.5308281864652,1,1
KEYCLOAK-15296,5.0,3.55,1,8
KEYCLOAK-14411,3.0,2.15,1,0
KEYCLOAK-14382,5.0,3.483333333333333,1,5
KEYCLOAK-13819,5.0,3.95,1,22
KEYCLOAK-13258,3.0,3.5308281864652,1,1
KEYCLOAK-13257,1.0,2.4,1,0
KEYCLOAK-13256,1.0,4.827770354439116,1,0
